"Model","AUC","KS","Accuracy","Sensitivity","Specificity"
"Logistic Regression",0.931000971817298,0.724489795918367,0.846153846153846,0.80952380952381,0.877551020408163
"Random Forest",0.912293488824101,0.724489795918367,0.802197802197802,0.80952380952381,0.795918367346939
"XGBoost",0.905441810344828,0.649784482758621,0.844444444444444,0.71875,0.913793103448276
